?TrialNumber	nTrial	Block	Endowment	ITI	ISI	L_Option	R_Option	ran	order	ISI_onset	ISI_offset	decision_onset	resp	rt	resp_onset	decision_offset	trialDuration	ITIonset	ITIoffset
49	49	3	17	4	0.5	4.25	0	1	48	477.1114	477.62833	477.62848	2	0.6000581	478.22852	478.7447	1.1165974	478.7452	482.74857
50	50	3	19	6	0.5	4.75	0	1	49	484.7607	485.27676	485.27692	2	0.733761	486.01068	486.5274	1.2509192	486.52795	492.53107
51	51	2	15	6	2	0.9	2.7	1	50	494.54297	496.55972	--	2	12.515895	497.79282	498.30856	13.032067	498.3091	504.31268
52	52	3	15	2	0.5	5.25	0	1	51	506.32455	506.84253	506.84268	3	0.8822518	507.7249	508.24194	1.3996367	508.24243	510.24557
53	53	2	23	2	2	0.5	0.9	1	52	512.2575	514.27454	--	3	8.831271	515.67395	516.19	9.347714	516.19055	518.1945
54	54	3	17	2	0.5	2.55	0	1	53	520.20654	520.7229	520.723	2	0.9500808	521.6731	522.1898	1.4671907	522.19037	524.1938
55	55	3	19	4	0.5	0.95	0	1	54	526.2059	526.7229	526.723	2	0.716408	527.43945	527.95496	1.2323312	527.9555	531.9596
56	56	2	21	2	0.5	0.1	0.9	1	55	533.9715	534.48834	--	3	8.782254	535.50525	536.02045	9.297799	536.021	538.02454
57	57	1	15	2	0.5	0.3	0.7	1	56	540.0374	540.55457	--	2	15.08113	541.80414	542.32166	15.599008	542.32214	544.325
58	58	3	25	2	2	1.25	0	1	57	546.3368	548.3532	548.35333	2	1.1677201	549.52106	550.03644	1.683522	550.037	552.0401
59	59	1	19	2	3.5	0.1	0.5	1	58	554.05316	557.5694	--	2	10.449167	558.8025	559.32	10.967094	559.32056	561.3236
60	60	3	25	4	0.5	8.75	0	1	59	563.33484	563.85187	563.852	3	0.4829645	564.33496	564.8508	0.9992352	564.8513	568.8544
61	61	1	21	2	0.5	0.7	0.9	1	60	570.8675	571.38367	--	3	8.9818535	572.8338	573.35077	9.499187	573.3513	575.35486
62	62	2	25	4	0.5	0.2	1.4	1	61	577.3672	577.8839	--	3	15.148205	579.0002	579.51654	15.664942	579.5171	583.52026
63	63	3	17	6	2	2.55	0	1	62	585.5325	587.54895	587.5491	2	0.6999035	588.24896	588.76587	1.2171892	588.7664	594.76984
64	64	3	15	2	0.5	0.75	0	1	63	596.7808	597.2975	597.2976	2	0.7842767	598.0819	598.59814	1.3008906	598.59863	600.6017
65	65	1	15	4	2	0.2	1.4	1	64	602.6135	604.63055	--	3	9.032689	606.3303	606.8467	9.549456	606.8472	610.8506
66	66	1	15	2	0.5	0.5	0.9	1	65	612.8625	613.38	--	2	17.665024	614.96265	615.47894	18.181692	615.47943	617.4827
67	67	1	17	2	0.5	0.5	0.7	1	66	619.4947	620.01154	--	3	24.414124	621.71173	622.22845	24.931196	622.229	624.2328
68	68	2	25	4	0.5	1.4	1.8	1	67	626.2441	626.7611	--	3	30.930334	628.22797	628.74445	31.44717	628.74493	632.74835
69	69	3	23	4	0.5	3.45	0	1	68	634.7601	635.27673	635.2769	2	1.0665152	636.3434	636.85944	1.5828925	636.8599	640.86304
70	70	2	25	2	3.5	0.3	0.7	1	69	642.87573	646.39246	--	3	12.398066	647.6749	648.1923	12.915783	648.1928	650.1962
71	71	3	15	2	0.5	2.25	0	1	70	652.208	652.7244	652.72455	2	1.0668131	653.7914	654.3085	1.5842736	654.30896	656.3118
72	72	3	15	4	2	5.25	0	1	71	658.3235	660.33997	660.3401	3	0.7171579	661.05725	661.57385	1.2341758	661.5744	665.5775
73				3.611111111	1.416666667			1	72	667.58954	669.0226	--	3	10.832882	671.173	671.6888	11.349032	671.6893	675.3046
?TrialNumber	nTrial	Block	Endowment	ITI	ISI	L_Option	R_Option	ran	order	ISI_onset	ISI_offset	decision_onset	resp	rt	resp_onset	decision_offset	trialDuration	ITIonset	ITIoffset
1	1	3	25	4	0.5	8.75	0	1	0	6.0118876	6.5282073	6.5283933	2	1.8340348	8.362428	8.878003	2.3501434	8.878705	12.882275
2	2	3	17	2	2	4.25	0	1	1	14.894085	16.910976	16.911121	3	1.7163042	18.627426	19.14419	2.2334392	19.144728	21.146893
3	3	3	17	2	0.5	5.95	0	1	2	23.159885	23.676308	23.676447	3	1.9500905	25.626537	26.14269	2.466625	26.143246	28.14636
4	4	2	15	2	0.5	0.3	0.5	1	3	30.15905	30.675589	--	999	999	999	33.69187	10.531759	34.20842	36.210793
5	5	2	15	2	2	0.5	0.7	1	4	38.22483	40.24152	--	999	999	999	43.25773	20.097687	43.774345	45.77708
6	6	1	21	2	0.5	0.5	0.9	1	5	47.790405	48.307316	--	3	27.413794	51.09024	51.60601	27.929953	51.606567	53.60969
7	7	3	25	2	2	6.25	0	1	6	55.622902	57.639122	57.639267	2	0.9001753	58.539444	59.055393	1.4165108	59.055927	61.059124
8	8	2	19	4	0.5	0.6	1	1	7	63.071926	63.58837	--	999	999	999	66.60496	9.481689	67.121155	71.12417
9	9	1	19	4	0.5	0.6	1.4	1	8	73.13744	73.65343	--	2	17.414955	75.05422	75.570496	17.931767	75.57125	79.5748
10	10	2	15	4	3.5	0.6	1.8	1	9	81.58684	85.10303	--	3	28.86375	86.50301	87.01879	29.379923	87.019356	91.02308
11	11	1	19	2	3.5	0.1	0.9	1	10	93.03528	96.551346	--	3	40.562294	98.20156	98.717545	41.07867	98.71809	100.72147
12	12	3	25	6	0.5	3.75	0	1	11	102.73412	103.25069	103.25084	999	999	999	106.267166	3.5334902	106.784546	112.78768
13	13	1	15	6	2	0.3	2.7	1	12	114.79934	116.815865	--	3	15.298366	118.5492	119.065155	15.814901	119.06593	125.0691
14	14	1	17	2	0.5	0.5	0.9	1	13	127.08123	127.59729	--	3	26.28076	129.5316	130.04778	26.797318	130.04834	132.05136
15	15	2	23	4	0.5	0.2	0.6	1	14	134.06386	134.58063	--	3	33.67973	136.93057	137.44707	34.196617	137.44763	141.45137
16	16	2	15	2	2	0.3	0.9	1	15	143.46274	145.47957	--	3	44.645138	147.89598	148.41171	45.161263	148.41225	150.41602
17	17	3	19	2	2	0.95	0	1	16	152.42856	154.44525	154.4454	3	1.549429	155.99484	156.51103	2.066023	156.51158	158.51468
18	18	1	23	4	3.5	0.2	1.4	1	17	160.52744	164.0441	--	3	11.814941	166.26035	166.77629	12.331298	166.77686	170.78058
19	19	1	25	2	0.5	0.3	0.5	1	18	172.79276	173.3088	--	3	20.8644	175.30981	175.82509	21.380077	175.82564	177.82886
20	20	1	21	8	0.5	0.4	2.8	1	19	179.84184	180.3581	--	3	27.863636	182.30904	182.8245	28.379482	182.82504	190.82732
21	21	1	25	8	0.5	0.4	2	1	20	192.84027	193.35655	--	3	40.195343	194.64075	195.15678	40.711765	195.15732	203.16034
22	22	2	21	2	2	0.1	0.7	1	21	205.17259	207.18857	--	3	54.077454	208.52286	209.03862	54.59362	209.03917	211.04225
23	23	2	23	4	0.5	0.2	1	1	22	213.0547	213.57149	--	3	61.025566	215.47098	215.98703	61.54202	215.98758	219.99033
24	24	1	17	6	0.5	0.3	2.7	1	23	222.00406	222.52055	--	3	69.5248	223.97021	224.48628	70.04128	224.48685	230.49023
25	25	1	15	2	0.5	0.5	0.7	1	24	232.50266	233.01845	--	3	79.690216	234.13562	234.65211	80.207085	234.65266	236.65578
26	26	2	23	2	3.5	0.7	0.9	1	25	238.6685	242.18494	--	999	999	999	245.20088	91.27216	245.71777	247.72012
27	27	3	23	2	0.5	1.15	0	1	26	249.73375	250.25043	250.2506	999	999	999	253.26662	3.53241	253.78323	255.78557
28	28	1	19	2	2	0.3	0.5	1	27	257.80005	259.81583	--	2	11.782716	262.0333	262.54852	12.298332	262.5491	264.55237
29	29	2	19	4	0.5	1.4	1.8	1	28	266.5652	267.08167	--	999	999	999	270.09814	20.363657	270.61444	274.61676
30	30	1	15	8	2	1.2	2.8	1	29	276.631	278.64697	--	999	999	999	281.66357	31.929028	282.17984	290.18237
31	31	2	19	2	2	0.1	0.3	1	30	292.19553	294.21265	--	3	46.144882	296.39548	296.9114	46.66122	296.91196	298.91507
32	32	2	19	2	3.5	0.3	0.9	1	31	300.92792	304.4443	--	3	55.693703	305.9443	306.4609	56.210728	306.4615	308.46454
33	33	3	17	4	0.5	7.65	0	1	32	310.477	310.99387	310.99402	3	1.6161478	312.61017	313.12616	2.1325314	313.1267	317.13043
34	34	3	25	6	3.5	6.25	0	1	33	319.14273	322.65906	322.65918	3	0.8997765	323.55896	324.07526	1.4164627	324.07578	330.07922
35	35	3	21	2	2	9.45	0	1	34	332.0911	334.10742	334.10757	3	1.4169135	335.52448	336.041	1.9338253	336.04153	338.0446
36	36	1	19	2	3.5	0.5	0.9	1	35	340.0567	343.5728	--	3	11.315524	345.4231	345.9395	11.832341	345.94006	347.9432
37	37	2	21	8	0.5	1.2	2.8	1	36	349.9556	350.4716	--	3	17.381565	351.48914	352.00546	17.898281	352.006	360.00864
38	38	2	21	2	2	0.5	0.7	1	37	362.02103	364.03787	--	3	31.179737	365.28732	365.80426	31.697084	365.8048	367.80792
39	39	1	25	4	0.5	0.6	1.8	1	38	369.81995	370.33615	--	3	37.27924	371.3868	371.90298	37.79581	371.90353	375.90726
40	40	1	23	4	3.5	0.2	0.6	1	39	377.91904	381.43546	--	3	48.478027	382.5856	383.102	48.994804	383.10254	387.1063
41	41	3	23	4	0.5	10.35	0	1	40	389.1178	389.63455	389.6347	999	999	999	392.6508	3.5324597	393.1674	397.17044
42	42	3	25	6	3.5	11.25	0	1	41	399.18335	402.70038	402.7005	3	0.0035292	402.70404	403.21597	0.5158819	403.2166	409.2199
43	43	2	15	8	3.5	0.4	1.2	1	42	411.2319	414.74814	--	2	12.058111	414.75864	415.26477	12.56465	415.26532	423.26837
44	44	2	21	2	2	0.5	0.7	1	43	425.28024	427.29654	--	999	999	999	430.31302	28.129135	430.82986	432.83286
45	45	2	25	6	0.5	0.3	1.5	1	44	434.84586	435.36212	--	3	33.91212	436.61264	437.12854	34.428406	437.12906	443.1325
46	46	2	21	8	0.5	2.8	3.6	1	45	445.14462	445.6607	--	3	44.56081	447.26132	447.77808	45.078003	447.77866	455.78165
47	47	1	15	2	2	0.3	0.5	1	46	457.79327	459.80988	--	3	58.459183	461.1597	461.6759	58.97607	461.67694	463.6795
48	48	1	21	6	0.5	0.3	2.7	1	47	465.69223	466.2088	--	3	65.175186	467.8757	468.39194	65.691826	468.3925	474.39566
49	49	3	17	4	0.5	4.25	0	1	48	476.4077	476.924	476.92416	3	1.7838235	478.70798	479.22385	2.3000972	479.22443	483.22815
50	50	3	19	6	0.5	4.75	0	1	49	485.24008	485.7564	485.75653	3	2.2001958	487.95673	488.4731	2.716986	488.47375	494.47687
51	51	2	15	6	2	0.9	2.7	1	50	496.48877	498.50525	--	3	13.749232	499.50577	500.02115	14.264991	500.02167	506.0251
52	52	3	15	2	0.5	5.25	0	1	51	508.0374	508.55426	508.5544	999	999	999	511.57034	3.5325	512.0871	514.09045
53	53	2	23	2	2	0.5	0.9	1	52	516.103	518.1196	--	2	10.69864	519.25305	519.76904	11.215011	519.7696	521.7717
54	54	3	17	2	0.5	2.55	0	1	53	523.7855	524.30194	524.3021	3	1.9002897	526.2024	526.71857	2.4168782	526.7191	528.7222
55	55	3	19	4	0.5	0.95	0	1	54	530.7348	531.2515	531.2517	3	1.1000255	532.3517	532.8682	1.6169021	532.8687	536.8721
56	56	2	21	2	0.5	0.1	0.9	1	55	538.88385	539.4006	--	999	999	999	542.4168	11.682006	542.9339	544.9363
57	57	1	15	2	0.5	0.3	0.7	1	56	546.94965	547.4665	--	3	17.31472	548.5664	549.08215	17.83084	549.0827	551.0858
58	58	3	25	2	2	1.25	0	1	57	553.09906	555.11536	555.11554	3	2.0836306	557.19916	557.7144	2.5993388	557.715	559.7181
59	59	1	19	2	3.5	0.1	0.5	1	58	561.73126	565.2479	--	3	11.73244	566.84796	567.36426	12.249394	567.36505	569.3679
60	60	3	25	4	0.5	8.75	0	1	59	571.3801	571.8962	571.8963	3	2.8170695	574.7134	575.2302	3.3343015	575.2308	579.2345
61	61	1	21	2	0.5	0.7	0.9	1	60	581.24554	581.7618	--	3	10.749473	582.6458	583.16205	11.266097	583.16254	585.1657
62	62	2	25	4	0.5	0.2	1.4	1	61	587.1784	587.69507	--	3	18.148592	590.0449	590.56146	18.665522	590.562	594.56573
63	63	3	17	6	2	2.55	0	1	62	596.57733	598.59393	598.5941	3	0.0037538	598.59784	599.11053	0.5168548	599.11115	605.1145
64	64	3	15	2	0.5	0.75	0	1	63	607.12646	607.64276	607.6429	3	0.7668726	608.4098	608.9253	1.2828053	608.92584	610.9288
65	65	1	15	4	2	0.2	1.4	1	64	612.94226	614.9593	--	3	9.86555	617.5084	618.0241	10.381582	618.0246	622.0283
66	66	1	15	2	0.5	0.5	0.9	1	65	624.0408	624.55756	--	3	19.264637	626.90753	627.424	19.781511	627.42456	629.42786
67	67	1	17	2	0.5	0.5	0.7	1	66	631.4399	631.95605	--	3	26.580553	634.22345	634.7397	27.09717	634.74023	636.7433
68	68	2	25	4	0.5	1.4	1.8	1	67	638.75586	639.2725	--	3	32.79615	640.439	640.955	33.31255	640.9556	644.9593
69	69	3	23	4	0.5	3.45	0	1	68	646.97144	647.48755	647.4877	3	1.3837558	648.87146	649.38745	1.9001485	649.388	653.3907
70	70	2	25	2	3.5	0.3	0.7	1	69	655.40375	658.92004	--	999	999	999	661.9364	14.965022	662.45294	664.45624
71	71	3	15	2	0.5	2.25	0	1	70	666.46967	666.98645	666.9866	3	0.003518701	666.9901	667.5021	0.5158624	667.50256	669.5057
72	72	3	15	4	2	5.25	0	1	71	671.51855	673.5351	673.5352	3	0.9171474	674.4524	674.96826	1.4333999	674.9688	678.9719
73				3.611111111	1.416666667			1	72	680.98413	682.418	--	2	9.565469	683.1007	683.6171	10.082277	683.6177	687.2328
